Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
159.21022033691406,165.1932753547798,158.92485105020066,163.80576949112535,84882400
160.28285217285156,160.5682214607871,155.9333317168137,158.55090609825874,96046400
154.2998046875,159.7514619922399,154.22107849702726,159.66290065876512,95623200
154.073486328125,157.24212936237095,152.90245856859522,153.4240064759593,88063200
161.0307159423828,161.89668891256514,156.39581154213602,156.71071626419635,130216800
155.13624572753906,163.54991794930683,154.7426297819827,159.25943807460507,131747600
155.44131469726562,155.70699870242646,150.8260949299853,154.21124610323508,123055300
156.93707275390625,158.14747110367338,153.82747065183054,155.62827792248643,88966500
163.372802734375,163.82545959087432,156.72058183628712,157.12404795896134,108256500
154.27029418945312,161.46373326041538,152.47930702556806,161.23740483289234,130525300
154.99954223632812,157.12822726592017,151.94448418251287,153.74795219056614,116124600
149.855224609375,153.5705662251753,149.29349706523496,152.68360662844097,131577900
